TeacherID,Date,"A1 - The teacher explains complex concepts in a clear and understandable manner.","A2 - The teacher breaks down difficult material into manageable and logical learning steps.","A3 - The teacher uses relevant examples and real-world applications to illustrate topics effectively.","B1 - The teacher effectively uses digital tools (presentations, videos, apps, online resources) to enhance learning.","B2 - The teacher uses technology to provide timely and constructive feedback on assignments.","B3 - The digital materials and resources shared by the teacher are easily accessible and helpful for self-study.","C1 - The teacher makes lessons engaging and maintains my interest throughout the class.","C2 - The teacher creates a supportive environment where I feel comfortable asking questions and seeking help.","C3 - The teacher encourages active participation, critical thinking, and meaningful interaction with the material."
T001,24/02/2024,"Neutral","Neutral","Neutral","Agree","Strongly Agree","Neutral","Agree","Neutral","Agree"
T001,18/02/2024,"Strongly Agree","Strongly Disagree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Disagree"
T001,22/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Agree","Agree"
T001,16/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Neutral"
T001,29/02/2024,"Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,18/02/2024,"Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree"
T001,20/02/2024,"Neutral","Strongly Agree","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Strongly Disagree"
T001,24/02/2024,"Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral"
T001,27/02/2024,"Neutral","Neutral","Neutral","Neutral","Agree","Strongly Disagree","Neutral","Neutral","Strongly Agree"
T001,15/02/2024,"Neutral","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,18/02/2024,"Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree","Agree","Disagree"
T001,24/02/2024,"Neutral","Disagree","Strongly Disagree","Agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral"
T001,29/02/2024,"Disagree","Strongly Disagree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral"
T001,24/02/2024,"Neutral","Agree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Disagree"
T001,28/02/2024,"Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree"
T001,21/02/2024,"Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral"
T001,20/02/2024,"Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Agree","Strongly Agree","Neutral"
T001,24/02/2024,"Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Agree"
T001,15/02/2024,"Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree"
T001,20/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,15/02/2024,"Disagree","Strongly Agree","Neutral","Agree","Neutral","Disagree","Agree","Agree","Neutral"
T001,21/02/2024,"Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Agree","Strongly Agree"
T001,27/02/2024,"Agree","Neutral","Neutral","Disagree","Agree","Strongly Disagree","Neutral","Agree","Neutral"
T001,20/02/2024,"Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral"
T001,22/02/2024,"Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Neutral","Strongly Agree","Agree","Disagree"
T001,22/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral"
T001,25/02/2024,"Strongly Agree","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Agree","Neutral","Agree"
T001,22/02/2024,"Agree","Agree","Neutral","Strongly Disagree","Neutral","Neutral","Agree","Agree","Neutral"
T001,20/02/2024,"Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Disagree"
T001,26/02/2024,"Agree","Neutral","Agree","Agree","Neutral","Agree","Neutral","Agree","Neutral"
T001,26/02/2024,"Strongly Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral"
T001,25/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral"
T001,17/02/2024,"Agree","Agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Neutral","Agree"
T001,20/02/2024,"Strongly Disagree","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,19/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,19/02/2024,"Neutral","Strongly Agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,21/02/2024,"Neutral","Neutral","Agree","Neutral","Disagree","Neutral","Agree","Neutral","Disagree"
T001,29/02/2024,"Neutral","Strongly Agree","Neutral","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree"
T001,26/02/2024,"Disagree","Agree","Neutral","Neutral","Neutral","Strongly Agree","Agree","Neutral","Neutral"
T001,30/02/2024,"Neutral","Neutral","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Strongly Agree","Neutral","Neutral"
T001,21/02/2024,"Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Disagree"
T001,26/02/2024,"Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Agree","Strongly Disagree","Strongly Agree"
T001,22/02/2024,"Neutral","Strongly Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Strongly Agree"
T001,28/02/2024,"Neutral","Neutral","Agree","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Neutral"
T001,24/02/2024,"Neutral","Neutral","Agree","Neutral","Neutral","Agree","Strongly Agree","Neutral","Agree"
T001,25/02/2024,"Strongly Disagree","Neutral","Neutral","Neutral","Disagree","Agree","Strongly Disagree","Neutral","Agree"
T001,24/02/2024,"Agree","Agree","Neutral","Neutral","Disagree","Neutral","Agree","Strongly Disagree","Neutral"
T001,27/02/2024,"Neutral","Neutral","Disagree","Neutral","Agree","Disagree","Agree","Neutral","Neutral"
T001,26/02/2024,"Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree"
T001,24/02/2024,"Neutral","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree"
T001,26/02/2024,"Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree"
T001,21/02/2024,"Agree","Strongly Agree","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree"
T001,17/02/2024,"Neutral","Neutral","Strongly Disagree","Neutral","Disagree","Neutral","Agree","Strongly Agree","Strongly Agree"
T001,17/02/2024,"Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
